DATE,NFCI
1982-01-01,1.9400000000000000
1982-02-01,1.9950000000000000
1982-03-01,2.1275000000000000
1982-04-01,2.2260000000000000
1982-05-01,2.4525000000000000
1982-06-01,2.8075000000000000
1982-07-01,2.9460000000000000
1982-08-01,3.1050000000000000
1982-09-01,3.3725000000000000
1982-10-01,2.6740000000000000
1982-11-01,1.4075000000000000
1982-12-01,0.73800000000000000000
1983-01-01,0.35000000000000000000
1983-02-01,0.10500000000000000000
1983-03-01,0.02250000000000000000
1983-04-01,-0.03600000000000000000
1983-05-01,-0.18000000000000000000
1983-06-01,-0.21000000000000000000
1983-07-01,-0.13600000000000000000
1983-08-01,-0.10000000000000000000
1983-09-01,-0.09800000000000000000
1983-10-01,-0.02000000000000000000
1983-11-01,0.08500000000000000000
1983-12-01,0.09000000000000000000
1984-01-01,-0.05000000000000000000
1984-02-01,-0.18000000000000000000
1984-03-01,-0.13400000000000000000
1984-04-01,0.18750000000000000000
1984-05-01,0.66750000000000000000
1984-06-01,1.09600000000000000000
1984-07-01,1.09250000000000000000
1984-08-01,0.72200000000000000000
1984-09-01,0.43750000000000000000
