DATE,CSUSHPINSA
2004-03-01,144.08
2004-04-01,146.179
2004-05-01,148.334
2004-06-01,150.518
2004-07-01,152.33700000000002
2004-08-01,153.814
2004-09-01,155.108
2004-10-01,156.298
2004-11-01,157.496
2004-12-01,158.67
2005-01-01,160.13
2005-02-01,161.924
2005-03-01,164.576
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.09799999999998
2005-08-01,175.923
2005-09-01,177.611
2005-10-01,178.75099999999998
2005-11-01,179.673
2005-12-01,180.107
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.75
2006-04-01,183.648
2006-05-01,184.38
2006-06-01,184.547
2006-07-01,184.607
2006-08-01,184.40400000000002
2006-09-01,184.19799999999998
2006-10-01,184.054
2006-11-01,183.632
2006-12-01,183.23
2007-01-01,182.71900000000002
2007-02-01,182.472
2007-03-01,182.19400000000002
2007-04-01,182.13099999999997
2007-05-01,181.88400000000001
2007-06-01,181.54
2007-07-01,180.993
2007-08-01,180.234
2007-09-01,179.12099999999998
2007-10-01,177.52900000000002
2007-11-01,175.16099999999997
2007-12-01,173.338
2008-01-01,171.078
2008-02-01,169.192
2008-03-01,167.905
2008-04-01,167.325
2008-05-01,167.02200000000002
2008-06-01,166.53799999999998
2008-07-01,165.713
2008-08-01,164.278
2008-09-01,161.912
2008-10-01,159.16299999999998
2008-11-01,156.071
2008-12-01,152.545
2009-01-01,149.362
2009-02-01,147.618
2009-03-01,146.515
2009-04-01,146.94299999999998
2009-05-01,148.17
2009-06-01,149.797
2009-07-01,150.749
2009-08-01,150.668
2009-09-01,149.626
2009-10-01,148.584
2009-11-01,147.938
2009-12-01,146.664
2010-01-01,145.003
2010-02-01,143.054
2010-03-01,143.597
2010-04-01,145.403
2010-05-01,147.039
2010-06-01,147.704
2010-07-01,147.564
2010-08-01,146.428
2010-09-01,144.61
2010-10-01,143.132
2010-11-01,141.82299999999998
2010-12-01,140.632
2011-01-01,139.041
2011-02-01,137.736
2011-03-01,137.789
2011-04-01,139.159
2011-05-01,140.69299999999998
2011-06-01,141.944
2011-07-01,142.342
2011-08-01,141.785
2011-09-01,140.16899999999998
2011-10-01,138.411
2011-11-01,136.667
2011-12-01,135.16899999999998
2012-01-01,134.168
2012-02-01,133.996
2012-03-01,135.864
2012-04-01,138.471
2012-05-01,141.048
2012-06-01,143.17
2012-07-01,144.284
2012-08-01,144.707
2012-09-01,144.359
2012-10-01,143.969
2012-11-01,143.961
2012-12-01,143.868
2013-01-01,144.312
2013-02-01,145.161
2013-03-01,147.96
2013-04-01,150.968
2013-05-01,153.859
2013-06-01,156.428
2013-07-01,158.289
2013-08-01,159.39700000000002
2013-09-01,159.675
2013-10-01,159.55700000000002
2013-11-01,159.363
2013-12-01,159.28
2014-01-01,159.369
2014-02-01,159.872
2014-03-01,161.189
2014-04-01,162.97
2014-05-01,164.685
2014-06-01,166.215
2014-07-01,167.139
2014-08-01,167.454
2014-09-01,167.24400000000003
2014-10-01,166.91299999999998
2014-11-01,166.66
2014-12-01,166.46200000000002
2015-01-01,166.252
2015-02-01,166.63299999999998
2015-03-01,168.09
2015-04-01,169.97
2015-05-01,171.85
2015-06-01,173.451
2015-07-01,174.497
2015-08-01,174.93900000000002
2015-09-01,175.046
2015-10-01,175.05200000000002
2015-11-01,175.145
2015-12-01,175.11900000000003
2016-01-01,175.04
2016-02-01,175.285
2016-03-01,176.604
2016-04-01,178.497
2016-05-01,180.34400000000002
2016-06-01,181.916
2016-07-01,183.02
2016-08-01,183.658
2016-09-01,183.94799999999998
2016-10-01,184.023
2016-11-01,184.235
2016-12-01,184.407
2017-01-01,184.65900000000002
2017-02-01,185.02599999999998
2017-03-01,186.535
2017-04-01,188.55
2017-05-01,190.548
2017-06-01,192.27599999999998
2017-07-01,193.52200000000002
2017-08-01,194.357
2017-09-01,194.826
2017-10-01,195.092
2017-11-01,195.457
2017-12-01,195.852
2018-01-01,196.12
2018-02-01,196.90900000000002
2018-03-01,198.578
2018-04-01,200.62099999999998
2018-05-01,202.46
2018-06-01,204.053
2018-07-01,204.96200000000002
2018-08-01,205.34
2018-09-01,205.386
2018-10-01,205.38099999999997
2018-11-01,205.118
2018-12-01,204.709
2019-01-01,204.215
2019-02-01,204.44299999999998
2019-03-01,205.79
2019-04-01,207.702
2019-05-01,209.365
2019-06-01,210.60299999999998
2019-07-01,211.356
2019-08-01,211.715
2019-09-01,211.892
2019-10-01,211.984
2019-11-01,212.12099999999998
2019-12-01,212.25099999999998
2020-01-01,212.41299999999998
2020-02-01,213.235
2020-03-01,215.213
2020-04-01,217.26
2020-05-01,218.50900000000001
2020-06-01,219.835
2020-07-01,221.59
2020-08-01,224.07
2020-09-01,226.825
2020-10-01,229.84099999999998
2020-11-01,232.351
2020-12-01,234.405
2021-01-01,236.482
2021-02-01,239.265
2021-03-01,244.264
2021-04-01,249.859
2021-05-01,255.484
2021-06-01,261.207
2021-07-01,265.54200000000003
2021-08-01,268.82
2021-09-01,271.47700000000003
2021-10-01,273.693
2021-11-01,276.07
2021-12-01,278.653
2022-01-01,282.039
2022-02-01,287.284
2022-03-01,295.123
2022-04-01,301.789
2022-05-01,306.569
2022-06-01,308.334
2022-07-01,307.135
2022-08-01,303.649
2022-09-01,300.45099999999996
2022-10-01,298.672
2022-11-01,296.809
2022-12-01,294.26599999999996
2023-01-01,292.444
2023-02-01,293.39
2023-03-01,297.077
