DATE,MORTGAGE30US_NBD19710401
2001-09-01,93.26265
2001-10-01,90.52668
2001-11-01,91.08071
2001-12-01,96.64843
2002-01-01,95.72503
2002-02-01,94.28865
2002-03-01,95.95075
2002-04-01,95.55404
2002-05-01,93.10534
2002-06-01,90.97127
2002-07-01,88.71409
2002-08-01,86.04651
2002-09-01,83.34473
2002-10-01,83.61833
2002-11-01,83.00958
2002-12-01,82.72914
2003-01-01,80.93023
2003-02-01,79.92476
2003-03-01,78.59097
2003-04-01,79.51436
2003-05-01,75.02052
2003-06-01,71.54583
2003-07-01,77.05198
2003-08-01,85.69083
2003-09-01,84.09713
2003-10-01,81.42271
2003-11-01,81.15595
2003-12-01,80.38304
2004-01-01,78.14637
2004-02-01,77.08618
2004-03-01,74.48700
2004-04-01,79.75376
2004-05-01,85.77291
2004-06-01,86.01231
2004-07-01,82.84542
2004-08-01,80.26676
2004-09-01,78.71409
2004-10-01,78.28317
2004-11-01,78.38577
2004-12-01,78.68673
2005-01-01,78.11218
2005-02-01,76.98358
2005-03-01,81.09439
2005-04-01,80.09576
2005-05-01,78.24897
2005-06-01,76.36115
2005-07-01,77.90698
2005-08-01,79.61696
2005-09-01,78.98769
2005-10-01,82.96854
2005-11-01,86.59371
2005-12-01,85.80027
2006-01-01,84.06293
2006-02-01,85.53352
2006-03-01,86.51163
2006-04-01,89.02189
2006-05-01,90.25308
2006-06-01,91.40903
2006-07-01,92.51026
2006-08-01,89.24761
2006-09-01,87.58550
2006-10-01,86.96990
2006-11-01,85.36252
2006-12-01,83.92613
2007-01-01,85.05472
2007-02-01,85.97811
2007-03-01,84.21341
2007-04-01,84.54172
2007-05-01,85.66347
2007-06-01,91.07387
2007-07-01,91.58687
2007-08-01,89.90424
2007-09-01,87.31190
2007-10-01,87.20930
2007-11-01,84.92476
2007-12-01,83.37893
2008-01-01,78.76881
2008-02-01,80.95075
2008-03-01,81.66895
2008-04-01,80.95075
2008-05-01,82.57182
2008-06-01,86.45691
2008-07-01,87.90698
2008-08-01,88.61149
2008-09-01,82.59234
2008-10-01,84.81532
2008-11-01,83.27633
2008-12-01,72.31190
2009-01-01,69.04925
2009-02-01,70.17784
2009-03-01,68.43365
2009-04-01,65.80027
2009-05-01,66.45007
2009-06-01,74.14501
2009-07-01,71.43639
2009-08-01,71.03283
2009-09-01,69.18605
2009-10-01,67.74282
2009-11-01,66.68947
2009-12-01,67.44186
2010-01-01,68.80985
2010-02-01,68.26265
2010-03-01,67.95486
2010-04-01,69.74008
2010-05-01,66.86047
2010-06-01,64.80848
2010-07-01,62.43502
2010-08-01,60.56772
2010-09-01,59.45280
2010-10-01,57.79754
2010-11-01,58.82353
2010-12-01,64.48700
2011-01-01,65.04788
2011-02-01,67.74966
2011-03-01,66.15595
2011-04-01,66.21067
2011-05-01,63.44049
2011-06-01,61.69631
2011-07-01,62.17510
2011-08-01,58.41313
2011-09-01,56.16963
2011-10-01,55.64295
2011-11-01,54.61696
2011-12-01,54.14501
2012-01-01,53.55677
2012-02-01,53.21477
2012-03-01,54.09029
2012-04-01,53.48837
2012-05-01,51.95622
2012-06-01,50.27360
2012-07-01,48.56361
2012-08-01,49.27497
2012-09-01,47.84542
2012-10-01,46.27223
2012-11-01,45.85499
2012-12-01,45.75923
2013-01-01,46.70315
2013-02-01,48.32421
2013-03-01,48.76881
2013-04-01,47.12722
2013-05-01,48.37209
2013-06-01,55.67715
2013-07-01,59.78112
2013-08-01,60.95759
2013-09-01,61.42271
2013-10-01,57.34610
2013-11-01,58.20793
2013-12-01,60.97811
2014-01-01,60.62927
2014-02-01,58.85773
2014-03-01,59.40492
2014-04-01,59.33653
2014-05-01,57.34610
2014-06-01,56.94254
2014-07-01,56.49795
2014-08-01,56.29275
2014-09-01,56.94254
2014-10-01,55.21204
2014-11-01,54.68536
2014-12-01,52.85910
2015-01-01,50.20520
2015-02-01,50.75239
2015-03-01,51.57319
2015-04-01,50.23256
2015-05-01,52.53078
2015-06-01,54.48016
2015-07-01,55.34884
2015-08-01,53.41997
2015-09-01,53.21477
2015-10-01,51.92886
2015-11-01,53.93297
2015-12-01,54.22709
2016-01-01,52.97538
2016-02-01,50.06840
2016-03-01,50.53352
2016-04-01,49.31601
2016-05-01,49.24761
2016-06-01,48.80985
2016-07-01,47.05882
2016-08-01,46.99042
2016-09-01,47.33242
2016-10-01,47.46922
2016-11-01,51.57319
2016-12-01,57.42818
2017-01-01,56.77155
2017-02-01,57.01094
2017-03-01,57.40082
2017-04-01,55.33516
2017-05-01,54.85636
2017-06-01,53.40629
2017-07-01,54.27497
2017-08-01,53.07798
2017-09-01,52.05198
2017-10-01,53.28317
2017-11-01,53.65253
2017-12-01,54.03557
2018-01-01,55.16416
2018-02-01,59.23393
2018-03-01,60.79343
2018-04-01,61.11491
2018-05-01,62.73598
2018-06-01,62.51710
2018-07-01,61.93570
2018-08-01,62.24350
2018-09-01,63.30369
2018-10-01,66.07387
2018-11-01,66.56635
2018-12-01,63.44049
2019-01-01,61.06703
2019-02-01,59.78112
2019-03-01,58.34473
2019-04-01,56.66895
2019-05-01,55.70451
2019-06-01,52.01778
2019-07-01,51.50479
2019-08-01,49.46648
2019-09-01,49.31601
2019-10-01,50.45144
2019-11-01,50.54720
2019-12-01,50.88919
2020-01-01,49.57592
2020-02-01,47.40082
2020-03-01,47.19562
2020-04-01,45.22572
2020-05-01,44.22025
2020-06-01,43.26265
2020-07-01,41.25855
2020-08-01,40.15048
2020-09-01,39.53488
2020-10-01,38.76881
2020-11-01,37.82490
2020-12-01,36.71683
2021-01-01,37.41450
2021-02-01,38.44049
2021-03-01,42.16826
2021-04-01,41.86047
2021-05-01,40.52668
2021-06-01,40.69767
2021-07-01,39.23393
2021-08-01,38.88509
2021-09-01,39.67168
2021-10-01,41.96306
2021-11-01,41.96306
2021-12-01,42.38030
2022-01-01,47.12722
2022-02-01,51.47059
2022-03-01,57.07250
2022-04-01,68.16005
2022-05-01,71.54583
2022-06-01,75.54036
2022-07-01,74.04241
2022-08-01,71.44323
2022-09-01,83.61149
2022-10-01,94.39124
2022-11-01,93.09166
2022-12-01,87.05882
2023-01-01,85.80711
2023-02-01,85.60192
2023-03-01,89.52120
2023-04-01,86.76471
2023-05-01,87.89330
2023-06-01,.
